,0,1,2,3,4,5,6,7,8,9,10
0,-5.8577237,-0.086399965,-0.45552808,-0.06513516,-0.5730641,-0.38977554,-0.48441765,-0.6255368,0.15912297,-0.3554172,-0.3204426
1,-6.675941,0.20348486,-0.28235188,0.18385717,-0.8272831,-0.5895627,-1.0382468,-0.4180676,-0.6901688,-0.73655295,0.08328371
2,-4.770064,0.51628643,-0.2797283,0.05006046,-0.6239776,-0.37439978,-0.60449123,-0.56157404,0.29409274,-0.30594644,-0.4014946
3,-6.5446053,0.18685943,-0.115249716,-0.31509662,-0.6118915,-0.38651708,-1.0578783,-0.7314087,0.099907175,-0.6804826,0.070976086
4,-6.349165,0.47932068,-0.4417134,0.19652158,-0.86086726,-0.45882186,-0.9066749,-0.62912834,-0.078877315,-0.32311714,-0.64351946
5,-7.5855284,0.3367638,-0.3331449,-0.095841035,-0.8513292,-0.7953143,-0.5011445,-0.7257627,-0.18091027,-0.31603104,-0.24444334
6,-4.774938,0.18538266,-0.16280559,-0.074894406,-0.38208804,-0.40610883,-0.5497812,-0.71898985,-0.2110019,-0.18739748,-0.17852001
7,-5.6821713,-0.00040067825,-0.31578708,0.19401886,-0.6901144,-0.72264856,-0.8019351,-0.7372116,-0.27075604,-0.43056655,-0.40888897
8,-5.4941096,0.14466272,-0.04575386,0.20971638,-0.52283585,-0.3697631,-0.46192297,-0.6999304,-0.21017636,-0.4029483,-0.08881164
9,-6.146795,-0.2547297,-0.5843659,0.17800812,-0.7266667,-0.4825221,-0.48339465,-0.8219854,-0.08120346,-0.292588,0.26466855
10,-7.725392,0.13843128,0.025155542,0.6683632,-0.6029521,-0.7447962,-0.7377922,-1.0867536,-0.4067357,-0.6782314,0.20750378
11,-7.805886,0.387618,-0.44745404,0.20374817,-0.7222805,-0.6017675,-0.8820711,-0.552059,-0.25063956,-0.041167155,-0.10019111
12,-5.549439,0.030728392,-0.33935505,0.360653,-0.3870944,-0.39421135,-0.7139475,-0.46263134,-0.32808536,-0.38140392,-0.06952449
13,-6.680343,0.034067,-0.09062533,0.41297823,-0.7828071,-0.63331974,-0.5775262,-0.5882501,-0.20792846,-0.63929504,0.04541681
14,-7.1942034,-0.042919986,-0.60432434,0.07183199,-0.909014,-0.8643632,-1.0116953,-0.33705658,0.034346975,-0.5133065,-0.008892615
15,-5.2205424,0.26536962,-0.3913305,0.050804168,-0.82656986,-0.38740805,-0.9561831,-0.52960694,-0.4653202,-0.1228857,-0.053958002
16,-7.9227448,0.6098478,-0.32465664,0.4419537,-0.8311411,-0.26806363,-0.95982504,-0.7605195,-0.4254206,-0.44655365,-0.32304442
17,-5.444291,0.27874997,0.15736532,0.34056485,-0.2951519,-0.6295215,-0.64094913,-0.8548605,-0.28764609,-0.61654985,0.060790956
18,-6.0288363,0.044755165,-0.50217474,-0.14216301,-0.50120825,-0.53399676,-1.0174047,-0.42280263,0.06194468,-0.3644783,-0.09820099
19,-5.585883,0.032799073,-0.1447533,0.004475088,-0.39927736,-0.71563196,-0.41581872,-0.61960715,-0.12820223,-0.35663584,0.1990931
20,-9.269767,0.1933144,-0.723216,-0.107531056,-0.84754753,-0.81453973,-0.9204778,-0.78835076,-0.62633383,-0.33340123,-0.5013669
21,-6.0599065,0.1320355,-0.14915553,0.4252596,-0.7805255,-0.3634803,-0.6819963,-0.37013248,-0.079033,-0.3463085,-0.13027312
22,-4.849592,0.017553363,-0.22228613,-0.035019413,-0.3511746,-0.3285694,-0.8760898,-0.64964414,-0.09173292,-0.2940627,-0.08823971
23,-6.9196463,0.19579731,-0.71463627,0.28671098,-0.59528804,-0.5655529,-0.7434993,-0.58655626,0.10645507,-0.18816997,-0.15513542
24,-5.344901,0.06784801,-0.23362543,0.07218254,-0.2528047,-0.47418958,-1.0046334,-0.41666955,-0.4374571,-0.42991,0.06754785
25,-8.514097,0.115601666,0.017288717,0.01659587,-0.5377246,-0.7750134,-1.11335,-1.3126752,-0.52458936,-0.3284486,-0.3011684
26,-5.166531,-0.017130498,-0.4830036,0.21763466,-0.45562118,-0.5313847,-0.6000367,-0.46166536,0.13785353,-0.2545421,-0.25195923
27,-6.707709,0.25511798,-0.44163913,-0.2278199,-0.5493754,-0.52583206,-0.69633687,-1.1241481,-0.20017353,-0.4771736,-0.19038363
28,-6.471243,0.023350347,-0.24981678,0.24299052,-0.5118103,-0.5932977,-0.48077574,-0.80150867,-0.0017192774,-0.29041156,0.04358569
29,-5.340155,-0.18711075,-0.20346023,-0.08625515,-0.45118508,-0.40744445,-0.73090005,-0.62058365,-0.28840908,-0.5291225,0.11412283
30,-5.716497,0.284743,-0.42131966,-0.13002864,-0.27678993,-0.5832899,-0.97451776,-0.20486921,0.043120295,-0.24254982,-0.091393284
31,-6.627273,0.12472415,-0.12527536,0.41324317,-0.7963713,-0.5091957,-0.7332725,-0.79166335,-0.48599118,-0.50109047,0.27816722
32,-5.3093224,0.15876202,-0.3682121,0.19138117,-0.528506,-0.39489135,-0.4510326,-0.56869376,-0.11981018,-0.2852549,0.20065497
33,-5.1879416,0.28003,-0.2268775,0.2762154,-0.36938822,-0.46943143,-0.82594156,-0.57020164,-0.009990178,-0.3969047,-0.23058723
34,-7.474733,-0.2622169,-0.3315539,0.23757717,-0.34933755,-0.74124104,-0.6444664,-0.883715,0.0098581575,-0.41717923,-0.40935677
35,-6.593662,0.23616815,-0.48945174,-0.032825366,-0.5235702,-0.1736317,-0.98495495,-0.73993176,0.08775453,-0.19304784,-0.2241449
36,-5.8403387,0.40296885,-0.038984958,0.02576944,-0.10584276,-0.48633814,-0.5742011,-0.6728781,0.0770337,-0.22344804,-0.20560257
37,-5.8740463,0.35551026,-0.40893808,0.13760237,-0.79320467,-0.6775734,-0.65796626,-0.66589385,-0.16552979,-0.36405006,-0.058329623
38,-4.126286,0.029004794,-0.3228324,0.13675472,-0.2538416,-0.16223203,-0.1726124,-0.62530774,-0.041438773,-0.39690757,0.31098902
39,-6.338696,0.68635494,-0.044876873,0.16499448,-0.26771915,-0.5854973,-0.6301961,-1.0564334,-0.094265535,-0.3435758,-0.28634107
40,-6.1043367,0.3350819,-0.40049952,-0.14725675,-0.6202565,-0.5639498,-0.79508847,-0.33810392,0.13614021,-0.18010037,-0.21197462
41,-5.8395295,0.42814666,-0.4123532,0.27895543,-0.7633424,-0.42912853,-0.8499129,-0.7693809,-0.20123333,-0.33491528,-0.37531066
42,-4.7422147,0.10483577,-0.27627963,-0.05738736,-0.38069913,-0.37009725,-0.3894838,-0.43067488,0.091558054,-0.218868,0.07220522
43,-7.225156,-0.011914591,-0.617041,0.13288745,-0.63555396,-0.5698051,-0.6022846,-0.6035344,0.13648047,-0.57391804,0.13315687
