,0,1,2,3,4,5,6,7,8,9,10
0,-5.3189535,0.9829243,2.43064,-1.0154282,-0.46823555,-0.064426325,-1.3058498,-1.5953172,0.40792924,-3.0916085,1.0728984
1,-5.307572,0.68589854,2.0792844,-1.1343307,-0.29612797,-0.2173318,-1.6394501,-1.5916535,0.26889738,-2.5981288,0.89393157
2,-5.999857,0.67893547,2.0593255,-1.3220315,-0.32702917,-0.07205721,-1.8793648,-1.5532061,0.25080985,-2.83143,0.8615316
3,-5.1144686,0.7270363,2.1197035,-0.87936145,-0.31798258,-0.18946731,-1.4071733,-1.5934424,0.29633644,-2.6763644,0.6850985
4,-4.5103407,0.47987986,1.6015767,-0.77967453,-0.30865717,-0.31451252,-1.0181296,-1.2513223,0.30308202,-2.1732757,0.71052235
5,-4.619483,0.35788316,1.913534,-0.91224414,-0.18231407,0.10196665,-1.2457982,-1.3259512,0.13358107,-2.4235919,0.9278494
6,-6.711873,0.74855936,2.711247,-1.5427562,-0.2110204,-0.21411349,-1.9554935,-2.1145258,0.4203734,-3.876291,1.3583618
7,-4.6001287,0.617553,1.9605349,-1.0604573,-0.05586148,-0.12243962,-1.228429,-1.1570022,0.36534724,-2.3444374,0.905393
8,-5.5284586,0.67123276,2.2679534,-1.0177178,-0.10394327,-0.17142531,-1.7163349,-1.715868,0.44893128,-2.842368,0.93729794
9,-5.5100155,0.6476242,2.0704398,-1.0434687,-0.4256329,-0.012165774,-1.3885733,-1.6787592,0.5159011,-2.766428,0.85674286
10,-3.6293533,0.3372863,1.364692,-0.56219274,-0.1169801,-0.15453973,-1.0959443,-1.137272,0.3114997,-1.7442671,0.6075146
11,-3.9876792,0.20433217,1.6147109,-0.8926775,-0.2903939,-0.08618295,-1.0618864,-1.2607607,0.41185954,-1.8693113,0.7647245
12,-5.367013,0.7287108,2.0757372,-0.83465606,-0.36574337,-0.017352873,-1.4209785,-1.4008027,0.5549442,-2.525147,0.73965234
13,-4.581045,0.63429683,1.8065532,-0.55115324,-0.036857232,-0.24409701,-1.3858669,-1.0629559,0.34275106,-1.9651282,0.79625076
14,-5.1174774,0.8838273,1.5112284,-0.9827988,-0.18233213,-0.02352394,-1.4412532,-1.4661124,-0.019917984,-2.833618,0.7244872
15,-5.324974,0.66104513,1.8568121,-0.6475445,-0.31195322,-0.32718116,-1.7209213,-1.3535637,0.24610278,-2.3449473,0.9534523
16,-6.3572793,0.7680958,2.1727715,-1.4604901,-0.34412178,-0.22613965,-1.4889842,-1.644205,0.53262,-2.8081615,0.97657174
17,-4.5021615,0.772632,1.8338611,-0.8601543,0.021698553,-0.34331185,-1.5863082,-0.98576343,0.22129907,-1.9503611,0.6953042
18,-5.759881,0.61800045,2.24199,-0.9105596,-0.6426311,-0.049475722,-1.7543153,-1.474599,0.44402805,-2.4805713,0.8754052
19,-3.6041992,0.742752,1.5336597,-0.90082115,-0.31892,-0.10798367,-1.1142112,-0.9171497,0.15336485,-2.0595448,0.68451357
20,-5.034775,0.6631443,2.1787417,-0.998067,-0.0643059,-0.2458583,-1.298145,-1.4122852,0.30789626,-2.590451,0.71153456
21,-5.1510086,0.39397258,2.0521145,-0.92016685,-0.30770215,-0.028026959,-1.4967287,-1.5836643,0.56540704,-2.6956713,0.8325383
22,-4.498532,0.39659426,1.7764717,-0.83903575,-0.16622339,-0.18951985,-1.0408225,-1.3690076,0.3737877,-2.4732623,0.61204505
23,-5.259857,0.8243924,2.360874,-0.8866042,0.0380671,-0.51234347,-1.602848,-1.358593,0.24636437,-2.7241743,0.9508318
24,-5.070294,0.79946536,2.1666899,-0.75836635,0.023805816,-0.5450103,-1.6419116,-1.0673578,-0.068453304,-2.5103421,1.1545897
25,-3.539484,0.41130623,1.1532624,-0.67232835,-0.27789652,-0.16084033,-0.80822563,-0.809349,0.19872251,-1.8257569,0.60396177
26,-4.234149,0.40544882,1.9016006,-0.7540581,0.00010196492,-0.46595085,-1.3261821,-0.925534,0.21474628,-2.1317234,0.82783365
27,-4.559452,0.8423988,2.023997,-0.8601117,0.052051134,-0.32543358,-1.4598541,-1.162495,-0.08483749,-2.4377375,0.88903624
28,-5.1284676,0.38023505,2.030449,-0.89971495,-0.6453625,-0.42951792,-1.3836081,-1.3853291,0.5312823,-2.4687707,0.73798764
29,-5.041238,0.8104887,1.9888786,-0.5522669,-0.13091627,-0.009258822,-1.3753061,-1.4071021,0.16033779,-2.5969741,0.51178765
30,-5.335559,1.0758067,2.526705,-0.7762945,-0.3280961,-0.19052817,-1.4947785,-1.672752,0.6047106,-2.7097178,0.85361916
31,-3.9409285,0.668095,1.4087746,-0.82236326,-0.3933369,-0.11561253,-1.2490743,-1.1974599,0.23172495,-1.8757108,0.8399513
32,-5.2017226,0.6857264,2.0355883,-0.7204555,-0.34915853,-0.5749201,-1.3867934,-1.0646966,0.30989662,-2.5579627,1.0753
33,-5.3705015,0.60636055,1.9643008,-1.0260168,-0.10232525,-0.40633178,-1.3057053,-1.4725798,0.53001904,-2.7234905,0.9810849
34,-3.4486284,0.5912305,1.3010856,-0.61635214,-0.07009585,-0.23563808,-1.1713794,-0.99801946,0.089827895,-1.7944028,0.54231673
35,-3.7803874,0.5224845,1.2749463,-0.49102113,-0.37748143,-0.06395343,-1.1916369,-1.0813835,0.19423309,-1.7028481,0.74384123
36,-5.9209414,0.8190168,2.417495,-1.0791123,-0.18258841,-0.39753622,-1.8176504,-1.6949532,0.3746066,-3.109649,0.7551859
37,-4.1296554,0.8145878,1.661561,-0.6819896,-0.17395605,-0.43042278,-1.251226,-1.1836872,0.052837607,-2.1435568,0.5997584
38,-3.935432,0.44685164,1.4590468,-0.4866724,-0.23914531,-0.15663163,-1.1301436,-1.0654067,0.27430338,-2.0077827,0.59580463
39,-4.8647876,0.9452147,1.9583877,-0.92914826,-0.24090189,-0.36516193,-1.3376871,-1.3026123,0.39099988,-2.3845897,0.7966167
40,-4.668081,0.6662543,1.7700851,-0.8259397,-0.0070644813,-0.10204236,-1.2661955,-1.3151516,0.1635383,-2.5108023,0.8686437
41,-5.4504786,0.48260164,1.88821,-1.0850571,-0.43974602,0.039793916,-1.2103744,-1.4594513,0.45440695,-2.7987416,0.8168079
42,-5.0178986,0.60348225,1.7851946,-0.6540096,-0.29039577,-0.2498611,-1.6240906,-1.0909762,0.10088862,-2.0272906,0.8893498
43,-5.241182,1.052905,2.1299872,-1.100262,0.18356451,-0.3412749,-1.5530522,-1.3839159,0.31412786,-2.7951915,0.921328
44,-4.6109347,0.63890326,1.7381296,-0.7810631,-0.18152395,0.086440034,-0.82472724,-1.372869,0.53558517,-2.6878448,0.95575017
45,-4.085969,0.17846186,1.7169802,-0.7654546,0.010732128,-0.09555291,-1.2246585,-1.0984035,0.5207181,-2.1814978,0.64980054
46,-5.046482,0.8158487,2.2496548,-0.79606694,-0.27709663,-0.39734015,-1.616565,-1.5397205,0.30611166,-2.4395394,0.90145725
47,-4.8847723,0.76313686,1.8905194,-0.7040916,-5.859323e-05,-0.25054315,-1.5915586,-1.2300063,-0.09192137,-2.1834166,0.83755094
48,-5.3472033,0.7894105,2.039326,-0.7564146,-0.06542144,-0.3277406,-1.6740638,-1.6053021,0.26331946,-2.5512333,0.5642251
49,-4.644584,0.68725497,1.7205013,-0.77968216,-0.28838012,-0.24173726,-1.4189618,-1.4371035,0.2616929,-2.2776787,0.48175707
50,-5.252323,0.27446258,2.1203966,-0.86781967,-0.15152965,-0.36378878,-1.6880234,-1.5153178,0.37120095,-2.5695035,0.7138159
51,-5.5342946,0.61086404,2.3205729,-1.169455,-0.09396461,-0.06778007,-1.4530602,-1.3165025,0.41152465,-2.727754,1.2702011
52,-4.4026537,0.8960933,1.614993,-0.7443039,-0.41924334,-0.2887354,-1.229114,-1.1101055,0.030260041,-1.8227684,0.962332
53,-6.955965,0.71821743,2.80921,-1.2990645,-0.014936614,-0.08660768,-1.8646512,-1.8846278,0.35337958,-3.92216,1.173588
54,-5.042525,0.6218936,2.2259777,-0.9517136,-0.02667813,-0.15418868,-1.6006311,-1.3769315,-0.02309525,-2.2189946,0.77418506
55,-5.6521482,0.5057706,2.045517,-1.0080601,-0.67419064,-0.12001689,-1.5253114,-1.5427557,0.6329993,-2.639289,0.85275894
56,-3.799349,0.48760366,1.4446656,-0.6758598,-0.31366047,-0.109190546,-1.27966,-1.0219588,0.17436515,-1.9890306,0.4813693
57,-6.587225,0.834417,2.3124495,-1.269677,-0.29528826,-0.33910084,-1.373644,-1.7257395,0.37786573,-3.2679176,1.1194896
58,-6.1256614,1.0237014,2.4507165,-0.7444931,0.14913405,-0.27197188,-1.7169751,-1.7716173,0.19465387,-2.970106,0.753745
59,-4.8515215,0.45191303,1.8084049,-0.929946,-0.19009998,-0.1617102,-1.4662867,-1.208716,0.1924725,-2.0633788,0.9124878
60,-3.3969975,0.29558533,1.2326272,-0.4518737,-0.36737156,-0.15419407,-0.77039045,-0.8612462,0.38272956,-1.7981757,0.4365555
61,-7.2235713,1.137115,2.6375098,-1.4108146,-0.3425643,-0.46795532,-2.016266,-1.9131573,0.39652932,-3.3149946,1.408817
62,-4.8788443,0.6897876,1.8505745,-1.0837066,-0.43020886,-0.04904397,-1.2088901,-1.557601,0.2782328,-2.58671,0.71361953
63,-4.7149653,0.61144143,1.8118777,-0.7537154,-0.020233743,-0.5315875,-1.726923,-1.3420335,-0.03376221,-2.1063921,0.84041554
64,-4.3876104,0.37819546,1.476418,-0.87668437,-0.40598792,-0.18218453,-1.129629,-0.9921554,0.45705813,-1.9772812,0.8508609
65,-6.459513,1.059313,2.33841,-1.1141067,-0.10637916,-0.39330718,-1.395666,-1.6710291,0.119389355,-2.965681,1.1418288
66,-6.9228787,0.72355366,2.594934,-1.4584523,-0.44012922,-0.07983127,-1.9473783,-1.9683877,0.48568264,-3.9155827,1.0351474
67,-5.7931337,0.76628137,2.3606174,-1.0670464,0.19073558,0.038130842,-1.8912553,-1.9641707,0.13589706,-2.6376007,0.64880943
68,-4.896075,0.524497,2.064251,-0.791919,-0.35249686,-0.36296073,-1.1857035,-1.4440136,0.25782216,-2.7179153,0.5990257
69,-5.2426143,0.6672527,1.9337696,-0.9806962,-0.24665055,-0.30971006,-1.4493791,-1.2369443,0.4944045,-2.6097295,0.9575435
70,-4.082294,0.6923271,1.6880437,-0.6454434,-0.10502987,-0.16860722,-1.4575856,-1.2038134,-0.03262903,-2.379658,0.8750323
71,-5.7022357,0.61093193,2.445623,-0.8669551,0.0158929,-0.41003454,-1.8904395,-1.4114599,0.09313418,-3.1301181,0.7104431
72,-5.5147634,0.46257544,2.3587115,-1.0447576,-0.20370036,-0.13632295,-1.448027,-1.4052144,0.5341684,-2.9058642,1.0510244
73,-5.130993,0.7412333,2.0600703,-0.76450497,0.03260542,-0.3305999,-1.6244284,-1.2904394,0.38978383,-2.531388,0.44615757
74,-3.4686015,0.5926637,1.2984762,-0.60697,-0.043212537,-0.28723946,-1.0849128,-0.8311774,-0.027954943,-1.5503974,0.67733467
75,-3.321995,0.5298867,1.4778508,-0.7897662,0.03388089,-0.17590179,-1.1384057,-0.9495889,-0.010272539,-2.1108823,0.41840786
76,-4.363715,0.8584561,1.9105052,-0.7583356,-0.11211931,-0.38241684,-1.3502482,-1.1554743,0.26617464,-1.9642612,0.5361809
77,-5.575002,1.0955161,2.124735,-0.8661071,-0.15005293,-0.34257042,-2.2395546,-1.5978956,0.043563295,-2.8752475,1.2058374
78,-5.9364305,0.88050085,2.001087,-1.025209,-0.10182504,0.07609427,-1.8123261,-1.6681194,-0.12797526,-3.071811,1.3326011
79,-5.0019703,0.75455004,1.8313524,-0.7007448,-0.21911108,-0.39079356,-1.2728876,-1.3544447,0.07585505,-2.634247,0.77632445
80,-5.8469973,0.94639146,2.4291663,-0.78439087,-0.171509,-0.5361953,-1.6384953,-1.7180368,0.489155,-3.105323,0.8665654
81,-5.510136,0.7582739,1.9963675,-0.6250386,-0.056790404,-0.07093851,-1.9002695,-1.5250046,0.21174279,-2.526515,0.94852483
82,-4.8049984,0.76369476,1.8283643,-0.77270645,-0.12512098,-0.4497899,-0.86995816,-1.1462249,-0.044479523,-2.8416812,0.9022955
83,-4.3217173,0.707934,1.7850187,-0.66053325,-0.078994885,-0.120789334,-1.1809354,-1.2535269,-0.06941875,-2.4678702,0.86568266
84,-5.3170834,0.5933493,1.9723426,-1.1232498,-0.56631505,-0.41145885,-1.2317516,-1.4813015,0.4253359,-2.6257734,1.1016475
85,-4.8329806,0.43814313,1.7250104,-0.75134164,-0.39805275,-0.020691128,-1.0852233,-1.4978839,0.51260453,-2.419373,0.7733832
86,-4.6274557,0.51324046,1.750561,-0.6623245,-0.36095348,0.04313866,-1.2011623,-1.0822201,0.5889818,-2.1521661,0.4561955
87,-4.3524346,0.6276495,1.7071279,-0.641867,-0.02387824,-0.28423533,-1.3538815,-1.108782,0.04590354,-2.001422,1.0304782
88,-5.3909845,0.47019234,2.0821311,-0.69030434,-0.19884366,-0.21011108,-1.4547276,-1.3552078,0.43648008,-2.6073017,0.89959586
89,-4.415746,0.55983466,1.8179985,-0.99352735,-0.0603368,-0.14800712,-1.326072,-1.0127836,0.14084326,-2.102516,0.8529061
90,-4.3512654,0.33175644,1.6557193,-0.45283672,-0.38819775,-0.26597536,-1.2972666,-1.1224704,0.3264386,-1.7693931,0.6021614
91,-3.9150443,0.53573775,1.3876989,-0.809191,-0.14210418,-0.14760154,-1.3243713,-1.1545947,0.31905735,-1.9554803,0.78819036
92,-5.736489,1.0873182,2.0711067,-1.1381813,0.045988828,-0.5974889,-1.8236965,-1.5649518,0.08595644,-2.5796413,0.966925
93,-4.1300316,0.72862005,1.7379527,-1.2479079,-0.06327627,-0.019132623,-1.1050138,-1.0316383,0.2764297,-2.251682,0.7565279
94,-4.8076596,0.7751858,1.9397163,-1.1352438,-0.3655576,-0.20426352,-1.2804772,-1.2583191,0.37022474,-2.5887325,1.052673
95,-4.570457,0.72326845,1.7159572,-1.0122745,-0.15512092,-0.32909983,-1.3194324,-1.2119615,0.23833044,-1.8968623,0.79249114
96,-4.330717,0.7496225,1.520421,-0.39745632,-0.2303803,0.026537035,-1.2196537,-1.1022396,-0.03633907,-2.1229146,0.85585856
97,-5.730333,0.70897275,2.1333697,-0.8469456,-0.24359813,-0.15857467,-1.6395104,-1.2308303,0.2732036,-2.399494,1.0060055
98,-3.53835,0.5939583,1.3896083,-0.757814,0.03477491,-0.5691519,-0.86891216,-0.70306903,-0.12081003,-1.7697546,0.78147596
99,-4.2183466,0.6887628,1.5029334,-0.8920396,-0.2297607,-0.22744444,-1.3156743,-1.0861045,0.26988766,-2.068306,0.78230894
100,-5.0249596,0.7624898,2.0962152,-0.858489,-0.2906004,-0.28454962,-1.4126765,-1.3481777,0.37120846,-2.5689838,0.8246416
101,-4.623752,0.55215526,1.5052782,-0.5470808,-0.10139208,-0.26704684,-1.2604145,-1.1879267,0.17053641,-1.8805361,0.49619943
102,-4.949861,0.733242,2.0191228,-0.6171767,-0.22748269,-0.10833125,-1.4000794,-1.5117067,0.3180483,-2.5623019,0.9549359
103,-5.7676253,0.94302857,2.0000083,-1.0652894,-0.307896,-0.24695535,-1.6555833,-1.2971305,0.4751861,-2.347926,0.89308196
104,-6.7465515,1.0101786,2.6616125,-1.12724,-0.23862678,-0.42821178,-2.2644258,-1.878693,0.24702717,-2.7340875,1.2334775
105,-4.383037,0.31559706,1.8654789,-0.7529819,-0.26634955,-0.50638723,-1.148315,-0.95090383,0.32536253,-2.2930133,1.0295758
106,-4.2379565,0.59487915,1.5874796,-0.6875676,-0.07367742,-0.37510517,-1.5450839,-0.97099465,0.112343304,-2.199544,0.78407866
107,-4.582406,0.3605113,1.9760069,-1.2315806,-0.16105303,-0.026502332,-1.3059579,-1.3899986,0.33183908,-2.3339353,0.7939388
108,-4.9611754,0.74792904,1.7534448,-1.1914614,-0.07001063,-0.46544382,-1.5513769,-1.428354,0.026783638,-2.491728,0.8703403
109,-3.6060796,0.54864687,1.1698707,-0.73976755,-0.1534229,-0.19913009,-0.8931245,-0.7763959,0.10240596,-1.6061016,0.52865475
110,-3.9897888,0.5833729,1.4508454,-0.8606196,-0.15822157,-0.03069673,-1.086421,-1.0057927,0.21152286,-2.0657895,0.7650139
111,-5.558206,0.91266257,1.9878932,-0.8549824,-0.30684534,-0.26890662,-1.1877478,-1.2649813,0.2702069,-2.4930875,0.8734528
112,-3.988701,0.62900454,1.6848555,-0.6782657,-0.22708538,-0.21038118,-1.2067407,-1.0670104,0.15506369,-1.9965146,0.5256521
113,-5.540455,0.5743069,2.1894724,-0.5288359,-0.22405463,-0.37090737,-1.81037,-1.6657194,0.15248841,-2.2658622,0.8565147
114,-4.854095,0.65749574,1.8668832,-0.92844045,-0.21267036,-0.060090378,-1.5160832,-1.4682844,0.1379614,-2.4636815,0.8813791
115,-4.358733,0.67476857,1.4950019,-0.83458316,-0.21520098,-0.1252919,-1.1939254,-1.2646259,0.3003016,-1.909093,0.73826927
116,-5.0844946,0.8242089,2.2819455,-0.9970765,0.18865477,-0.35956404,-2.0204763,-1.4210148,0.31585136,-2.574403,0.8302861
117,-5.2493815,0.41521913,2.0876977,-1.1084311,-0.47715765,0.006470147,-1.3906568,-1.5718322,0.7353614,-2.5309296,1.2519282
