-7.8077,2.7327,-1.1878,-0.93346,0.020436,-0.3909,0.10302,-1.3401,-0.042306,-0.075046,0,
-8.2687,-1.442,0.60026,1.974,-1.2004,-0.88284,-1.2313,1.9947,-0.57083,-0.39255,0,
-10.3386,2.4803,1.3681,-0.33543,0.30097,0.75241,0.86631,-0.27395,1.7991,0.61141,0,
-4.4164,2.1174,0.2729,-0.95171,1.5065,0.98928,1.0726,-0.91497,-2.3532,-0.74185,0,
-6.9669,3.1741,-0.26859,-0.99282,-3.2845,-0.33674,-0.57258,2.3703,-1.2441,0.47625,0,
-9.547,0.76512,-0.31913,0.71177,0.88448,-0.28086,2.0754,-0.305,0.036271,-0.50043,0,
-4.6394,-2.866,3.0937,1.5349,-2.9153,0.74922,0.51268,1.0973,-0.50375,-0.075068,0,
-7.439,-0.77684,-5.4038,-1.233,-3.6368,-2.2776,0.51469,-2.6706,-1.3623,-0.59117,0,
-4.9977,0.70077,0.0059129,-0.57409,-2.2527,1.4167,2.5763,-1.7812,-0.51186,-1.253,0,
-6.2395,0.51819,4.0534,1.262,-0.31591,0.13399,1.2138,2.2013,0.13141,0.6381,0,
-6.1207,1.4719,-0.3057,-0.15175,-3.9328,-1.4632,1.2719,-0.71092,-0.57142,-0.1331,0,
-4.897,3.0442,1.166,2.4166,0.16845,-0.9846,0.02127,0.35988,-0.27144,-0.57671,0,
-7.9825,-0.79709,0.15624,0.9329,1.3374,1.1498,0.20691,1.0168,0.69062,0.70794,0,
-1.6363,1.4372,-1.5066,2.3029,0.20892,-0.10048,-0.10312,-0.1925,0.8053,-0.88114,0,
-2.0485,0.41061,0.9217,0.7352,-3.6749,0.036232,2.1197,-0.44141,2.0027,-1.4376,0,
-4.7068,0.10073,-0.77028,-0.21239,1.7654,-2.0464,-0.56118,-1.0425,-1.1355,-0.056939,0,
-7.1927,-0.48168,0.94504,1.6448,0.012351,-0.1931,0.67773,1.6064,0.052759,-0.78996,0,
-3.1451,-6.2208,2.0912,-3.4387,-0.51284,0.70412,1.3621,-3.0879,2.4034,0.98622,0,
-10.0556,1.7255,-3.8961,-2.0614,0.42113,-1.3981,-0.99986,-2.0984,-1.8407,-0.3693,0,
-6.7917,-0.020669,4.1711,2.7754,-2.1934,1.4537,0.90313,0.35595,0.31036,0.12019,0,
-5.544,-0.20534,2.0585,1.5843,-0.79772,-0.90432,0.73755,0.82727,0.37783,-1.6424,0,
-7.6742,-1.1246,-0.43684,0.30138,0.61536,-1.2357,-0.74403,0.5309,-0.22203,-0.35101,0,
-9.3527,-1.2621,-1.2304,-2.3136,2.5694,-1.8304,-0.056207,-2.0244,-0.79247,-1.6845,0,
-5.4928,1.7886,1.9573,1.6708,-3.224,-1.7044,1.9423,0.038512,1.2248,1.7349,0,
-4.0855,1.1884,-0.31913,-1.7628,2.1852,-0.72285,-0.097368,0.30667,-0.75824,-0.55779,0,
-6.0818,-1.1734,-0.41945,-1.4038,-1.2716,1.3942,-2.4859,-0.13278,0.16918,-1.2683,0,
-3.8556,-0.13891,1.9549,-2.0775,0.48102,1.8103,-0.57935,0.83259,0.12876,0.21773,0,
-7.5872,1.4093,-0.62692,0.0042881,0.32845,2.1005,-0.6163,0.99644,-1.0887,1.0251,0,
-5.1948,1.4098,2.8526,0.0070814,0.14662,0.37204,0.80472,0.3844,-1.7275,-1.653,0,
-5.2396,-0.40221,2.4949,-2.3012,-2.1806,3.4412,2.4919,-0.74622,0.44483,-1.5225,0,
-9.6462,0.73179,-3.1167,2.7658,0.059989,-0.16584,0.61438,0.36113,-0.39028,-1.5644,0,
-3.4937,1.2116,0.020842,-0.12815,0.33729,0.57192,0.023722,0.58391,0.58706,-1.5827,0,
